id pop L_Hg14 L_Hg37 L_M11a L_M2b L_Hg42 L_Hg810 L_Hg63 L_Pv11
SMI_010 San_Miguel_Island 380/382 162/166 91/99 152/156 183/197 232/236 160/184 380/382
SMI_011 San_Miguel_Island 380/392 178/182 99/105 142/162 189/189 228/240 160/160 380/392
SMI_012 San_Miguel_Island 380/394 168/174 87/91 160/162 193/199 228/238 160/160 380/394
SMI_013 San_Miguel_Island 380/398 164/184 105/117 156/158 185/187 234/234 160/160 380/398
SMI_014 San_Miguel_Island 392/394 162/172 95/107 158/160 195/195 236/242 160/160 392/394
SMI_015 San_Miguel_Island 386/394 176/182 91/115 160/162 197/199 234/236 160/184 386/394
SMI_016 San_Miguel_Island 396/396 166/176 99/103 156/160 185/193 234/238 156/160 396/396
SMI_017 San_Miguel_Island 390/392 168/186 91/97 160/166 189/193 234/234 160/174 390/392
SMI_018 San_Miguel_Island 380/392 176/178 99/105 160/160 187/187 228/230 160/160 380/392
SMI_019 San_Miguel_Island 380/386 178/182 99/107 148/162 191/193 236/236 160/160 380/386
SMI_020 San_Miguel_Island 380/394 174/186 91/115 156/156 185/191 232/234 160/160 380/394
SMI_025 San_Miguel_Island 380/392 168/170 87/117 142/158 193/205 234/234 160/184 380/392
SMI_028 San_Miguel_Island 382/386 174/178 87/91 142/160 189/193 NA 160/160 382/386
SMI_037 San_Miguel_Island NA NA NA NA 189/193 236/238 160/160 NA
SMI_038 San_Miguel_Island 380/386 152/168 99/105 158/160 189/191 234/236 160/160 380/386
SMI_042 San_Miguel_Island NA NA NA NA 185/185 236/238 160/178 NA
SMI_043 San_Miguel_Island 380/390 152/164 99/115 148/162 191/197 236/244 160/184 380/390
SMI_057 San_Miguel_Island NA 172/180 99/103 158/162 NA NA 160/160 NA
SMI_060 San_Miguel_Island NA 168/182 91/107 156/158 NA NA 160/160 NA
SMI_062 San_Miguel_Island 380/394 170/182 99/115 162/168 191/193 236/240 160/160 380/394
SMI_067 San_Miguel_Island 380/392 162/174 99/107 142/158 179/185 238/240 160/160 380/392
SMI_068 San_Miguel_Island 380/392 162/174 99/107 142/158 179/185 NA 160/160 380/392
SMI_069 San_Miguel_Island NA 168/168 99/107 154/166 185/191 NA 160/160 NA
SMI_085 San_Miguel_Island NA NA 91/115 154/162 185/193 NA 160/160 NA
SMI_095 San_Miguel_Island 380/380 166/176 99/99 162/166 185/197 230/232 160/160 380/380
SNG_001 St_George_Island 394/394 162/174 85/103 134/160 189/197 NA 160/160 394/394
SNG_002 St_George_Island 382/394 162/178 97/125 160/160 193/195 234/236 160/160 382/394
SNG_003 St_George_Island 392/394 172/174 95/99 140/154 193/197 NA 160/160 392/394
SNG_004 St_George_Island 378/380 168/178 115/117 154/164 193/197 236/240 160/174 378/380
SNG_005 St_George_Island 382/392 174/178 95/113 160/160 185/199 228/238 160/160 382/392
SNG_006 St_George_Island 380/388 166/174 91/95 156/166 189/195 236/248 160/160 380/388
SNG_007 St_George_Island 390/394 170/172 115/117 158/164 195/197 234/240 160/160 390/394
SNG_008 St_George_Island 380/392 162/172 91/99 160/160 189/197 234/240 160/160 380/392
SNG_009 St_George_Island 380/382 178/182 99/117 160/162 191/195 230/232 160/160 380/382
SNG_010 St_George_Island 391/392 162/174 117/123 142/160 185/195 238/250 160/176 391/392
SNG_011 St_George_Island 382/396 168/178 91/103 134/140 183/183 236/242 160/176 382/396
SNG_012 St_George_Island 382/390 166/178 107/117 164/164 183/193 228/236 160/186 382/390
SNG_013 St_George_Island 380/394 166/168 85/103 156/166 195/205 234/238 160/160 380/394
SNG_014 St_George_Island 380/394 170/184 99/115 158/164 185/189 230/238 160/184 380/394
SNG_015 St_George_Island 382/394 152/172 91/103 150/160 193/195 234/246 160/160 382/394
SNG_016 St_George_Island 386/394 182/184 91/97 152/160 195/197 228/230 160/160 386/394
